zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
north,3.0,42000.0,2.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Administrative / Clerks,0.0,2.0,0.0,Pucca,Apartments,Ground level,G only,Local roads,5-10 m,Bituminous roads,General,25-40,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,2.0,48000.0,1.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,Light / Small scale industry,0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Cement roads,General,10-25,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,Yes,> 5 km,Yes,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,3.0,51000.0,1.0,2.0,0.0,Secondary,Higher Secondary,,1.0,0.0,2.0,0.0,0.0,1.0,1.0,Business / Trade Industry,Business / Trade Industry,2.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,SC,>60,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Remains same,Boiling,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,20-40%,10-25 years,2000-6000,4.0
north,4.0,48000.0,3.0,1.0,0.0,Higher Secondary,Primary,,0.0,1.0,1.0,2.0,0.0,1.0,0.0,Light / Small scale industry,0,0.0,1.0,0.0,Pucca,Apartments,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,<10,10-25,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Less / No Supply,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,No,,No,1-3 Days,20-40%,<10 years,No loss but a lot of inconvenience,4.0
north,2.0,40000.0,1.0,1.0,0.0,Secondary,Secondary,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Administrative / Clerks,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,OBC,>60,40-60,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,Yes,<1 km,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,2.0,47000.0,1.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,Government (state/central/private/retired),0,0.0,0.0,1.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,General,25-40,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,20-40%,10-25 years,No loss but a lot of inconvenience,4.0
north,2.0,38000.0,1.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Retail / Livestock Related,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Sub-Arterial,30-40 m,Cement roads,OBC,40-60,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,3.0,27000.0,2.0,1.0,0.0,Illiterate,Higher Secondary,,1.0,0.0,2.0,0.0,0.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,2.0,0.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Gravel roads,General,25-40,10-25,Owner,Nuclear,Community Tap,,Satisfactory,Worsens,,Less / No Supply,Chemicals,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,Yes,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,2,1 ft,Mechanically,Yes,1 - 3 km,Yes,4-6 Days,40-60%,<10 years,No loss but a lot of inconvenience,5.0
north,5.0,45000.0,1.0,4.0,0.0,Higher Secondary,Illiterate,,0.0,2.0,0.0,2.0,1.0,1.0,0.0,Light / Small scale industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,General,10-25,25-40,Owner,Joint,Municipal Corporation,< 1 km,Poor,Remains same,,Less / No Supply,Aquaguard,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Manually,No,,No,1-3 Days,Negligible/<20%,10-25 years,No loss but a lot of inconvenience,4.0
north,3.0,44000.0,2.0,1.0,0.0,Higher Secondary,Graduate,,0.0,1.0,0.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,OBC,25-40,25-40,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,No loss but a lot of inconvenience,4.0
north,5.0,36000.0,3.0,2.0,0.0,Secondary,Secondary,,0.0,0.0,3.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Administrative / Clerks,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,<10,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Chemicals,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,5.0,49000.0,3.0,2.0,0.0,Graduate,Higher Secondary,,1.0,2.0,0.0,2.0,0.0,1.0,1.0,Government (state/central/private/retired),Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,General,>60,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Chemicals,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Manually,No,,Yes,1-3 Days,Negligible/<20%,<10 years,No loss but a lot of inconvenience,4.0
north,5.0,39000.0,2.0,3.0,0.0,Higher Secondary,Secondary,,0.0,3.0,0.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Local roads,5-10 m,Cement roads,General,10-25,>60,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Remains same,Chemicals,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,3.0,44000.0,2.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Apartments,Ground level,G only,Collector road,20-30 m,Bituminous roads,General,25-40,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,Yes,> 5 km,No,1-3 Days,20-40%,<10 years,2000-6000,4.0
north,4.0,34000.0,1.0,3.0,0.0,Secondary,Higher Secondary,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Business / Trade Industry,0.0,2.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,ST,<10,10-25,Owner,Nuclear,Municipal Corporation,1-2 kms,Good,Remains same,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,3,> 2 ft,Manually,No,,No,4-6 Days,40-60%,<10 years,2000-6000,5.0
southwest,2.0,68000.0,1.0,1.0,0.0,Higher Secondary,Graduate,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Sub-Arterial,30-40 m,Bituminous roads,General,25-40,<10,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Solar Power,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,3.0
southwest,4.0,36000.0,2.0,2.0,0.0,Secondary,Secondary,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Retail / Livestock Related,0.0,2.0,0.0,Pucca,Apartments,Ground level,G + 1,Collector road,20-30 m,Bituminous roads,General,10-25,25-40,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,Yes,<1 km,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
southwest,4.0,28000.0,2.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,1.0,3.0,0.0,1.0,1.0,Administrative / Clerks,Retail / Livestock Related,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 3,Local roads,10-20 m,Gravel roads,OBC,<10,25-40,Tenant,Joint,Community Tap,,Poor,Worsens,,Less / No Supply,Chemicals,City administration,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Unchanged,Intermediate,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Weekly,3,1-1/2 ft,Mechanically,Yes,<1 km,No,1-3 Days,20-40%,10-25 years,No loss but a lot of inconvenience,5.0
southwest,2.0,25000.0,1.0,1.0,0.0,Primary,Secondary,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Informal Job / Hawker,Retail / Livestock Related,2.0,0.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Local roads,< 3 m,Bituminous roads,SC,10-25,<10,Owner,Nuclear,Hand pump,< 1 km,Good,Worsens,,Less / No Supply,Boiling,Individually,Community,1-2 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,No,Yes,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Road side dumping picked by NMC,Spills out into flooded roads,Weekly,3,1 ft,Manually,Yes,1 - 3 km,Yes,4-6 Days,40-60%,<10 years,2000-6000,6.0
southwest,4.0,34000.0,1.0,3.0,0.0,Higher Secondary,Secondary,,1.0,1.0,0.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,< 3 m,Gravel roads,SC,25-40,10-25,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Remains same,Aquaguard,Individually,Private,,Pit Latrine,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,No,No,Yes,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,2,1 ft,Manually,Yes,1 - 3 km,No,4-6 Days,40-60%,10-25 years,2000-6000,5.0
southwest,5.0,23000.0,2.0,3.0,0.0,Primary,Primary,,0.0,2.0,0.0,2.0,1.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,< 3 m,Bituminous roads,General,<10,25-40,Tenant,Joint,Community Tap,,Satisfactory,Worsens,,Less / No Supply,Filter,City administration,Community,1-2 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,No,Yes,No,Yes,Yes,No,No,1-3 km,< 1 km,Municipal corporation,Road side dumping picked by NMC,Spills out into flooded roads,Fortnightly,2,1-1/2 ft,Mechanically,Yes,1 - 3 km,Yes,1-3 Days,20-40%,25-40 years,2000-6000,6.0
southwest,3.0,33000.0,2.0,1.0,0.0,Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Retail / Livestock Related,Administrative / Clerks,1.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,10-25,<10,Tenant,Joint,Municipal Corporation,< 1 km,Poor,Remains same,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,4,1-1/2 ft,Mechanically,No,,No,4-6 Days,40-60%,<10 years,No loss but a lot of inconvenience,5.0
southwest,5.0,35000.0,4.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,3.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 3,Local roads,4-5 m,Gravel roads,General,10-25,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Remains same,Boiling,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Weekly,4,> 2 ft,Mechanically,Yes,3 - 5 km,Yes,4-6 Days,40-60%,10-25 years,2000-6000,5.0
southwest,4.0,22000.0,2.0,2.0,0.0,Illiterate,Secondary,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Retail / Livestock Related,0.0,2.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Local roads,4-5 m,Bituminous roads,Others,<10,25-40,Tenant,Joint,Hand pump,< 1 km,Satisfactory,Worsens,,Less / No Supply,Boiling,City administration,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,Yes,No,Yes,Yes,No,No,<1 km,1-3 km,Municipal corporation,Road side dumping picked by NMC,Remains dumped- no pick up,Fortnightly,4,> 2 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,20-40%,<10 years,2000-6000,6.0
southwest,3.0,33000.0,1.0,2.0,0.0,Higher Secondary,Primary,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Local roads,10-20 m,Cement roads,ST,25-40,<10,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,4,> 2 ft,Mechanically,No,,No,4-6 Days,40-60%,10-25 years,2000-6000,5.0
southwest,5.0,73000.0,1.0,4.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,3.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Local roads,4-5 m,Bituminous roads,OBC,<10,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Mechanically,No,,No,No loss,No loss,<10 years,2000-6000,3.0
southwest,5.0,75000.0,4.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,3.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Bituminous roads,General,>60,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Poor,Remains same,,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,Yes,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,6 inch or below,Manually,No,,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,3.0
southwest,5.0,25000.0,2.0,3.0,0.0,Secondary,Primary,,0.0,3.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Squatter/Encroachment,Ground level,G only,Collector road,20-30 m,Cement roads,General,<10,10-25,Owner,Nuclear,Community Tap,,Satisfactory,Worsens,,Less / No Supply,Filter,City administration,Community,<1 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,Yes,No,Yes,Yes,No,No,<1 km,< 1 km,Municipal corporation,Road side dumping picked by NMC,Remains dumped- no pick up,Weekly,4,1-1/2 ft,Mechanically,Yes,3 - 5 km,No,4-6 Days,40-60%,25-40 years,2000-6000,6.0
southwest,2.0,63000.0,1.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,OBC,25-40,>60,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Remains same,Boiling,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,6 inch or below,Manually,No,,No,No loss,No loss,<10 years,No loss but a lot of inconvenience,3.0
southwest,3.0,59000.0,1.0,2.0,0.0,Higher Secondary,Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Sub-Arterial,30-40 m,Cement roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Less / No Supply,Boiling,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,6-12 Hours ,Solar Power,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,No,,No,No loss,No loss,10-25 years,2000-6000,3.0
southwest,2.0,75000.0,1.0,1.0,0.0,Higher Secondary,Graduate,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Government (state/central/private/retired),Light / Small scale industry,2.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,OBC,25-40,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Poor,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,1,1-1/2 ft,Mechanically,No,,No,No loss,No loss,<10 years,2000-6000,3.0
southwest,4.0,57000.0,3.0,1.0,0.0,Graduate,Primary,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,General,25-40,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Worsens,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,3.0
southwest,5.0,45000.0,3.0,2.0,0.0,Graduate,Illiterate,,0.0,1.0,0.0,4.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Bituminous roads,General,<10,10-25,Tenant,Joint,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Manually,No,,Yes,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
southwest,2.0,20000.0,1.0,1.0,0.0,Primary,Primary,,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Light / Small scale industry,Light / Small scale industry,2.0,0.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,10-25,<10,Owner,Nuclear,Hand pump,< 1 km,Good,Worsens,,Less / No Supply,Filter,Collectively as a community,Community,<1 km,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,Yes,No,Yes,Yes,No,No,<1 km,1-3 km,Municipal corporation,Road side dumping picked by NMC,Remains dumped- no pick up,Weekly,3,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,20-40%,<10 years,2000-6000,6.0
